sff,0,170102,unsolved,[28],[],1e+08,900.003
sff,0,347949,unsolved,[14;29;19;23],[313.374;419.786;264.947;291.294;593.819;700.231],1e+08,900.002
sff,0,548638,unsolved,[0;26;28;25;14;29;19;10;27;22;1;17;12;2;18;4;24;23;9;21;15;7;11;3;20;8;6;5;16],[209.935;264.522;54.5872;489.357;281.324;335.911;422.551;214.517;269.105;425.655;725.076;517.043;571.63;728.18;313.374;808.475;600.442;655.029;811.58;396.773;83.3991;545.987;340.829;395.416;411.72;347.239;649.765;733.164;470.93;265.772;320.359;545.194;478.388;723.705;807.104;183.863;461.311;256.153;310.74;535.575;468.769;519.917;603.316;297.404;221.675;704.388;499.231;553.818;778.653;711.846;762.995;846.394;463.065;398.565;295.945;679.691;474.533;529.12;753.955;687.149;962.939;1046.34;349.122;239.235;431.107;159.33;912.583;707.426;762.013;986.848;920.041;1222.57;1305.97;582.014;545.136;659.951;364.006;507.534;652.189;447.031;501.618;726.454;659.647;962.172;1045.57;484.567;412.269;403.857;646.935;618.271;851.164;438.278;233.12;287.707;512.542;445.736;748.261;831.66;107.709;76.1544;189.695;355.356;241.413;474.305;376.858;666.8;461.642;516.229;741.064;674.258;976.783;1060.18;499.943;428.087;418.468;661.546;633.647;866.54;609.346;392.234;335.624;125.689;123.561;406.727;270.427;572.953;656.352;466.519;391.461;381.842;624.92;600.222;833.115;572.721;358.81;587.332;415.631;205.696;260.283;487.02;291.294;593.819;677.218;546.525;471.468;461.849;704.927;680.229;913.122;652.727;438.816;667.338;330.821;287.19;312.011;366.598;593.334;472.279;774.805;858.204;652.84;577.783;568.163;811.241;786.544;1019.44;759.042;545.131;773.653;437.7;377.74;377.492;450.277;504.864;731.601;610.545;913.071;996.47;791.106;716.049;706.429;949.507;924.81;1157.7;897.308;683.397;911.919;575.966;516.006;138.266;625.817;528.409;476.702;809.733;645.352;947.877;1031.28;869.238;794.181;784.562;1027.64;1002.94;1235.83;975.44;761.529;990.051;598.126;734.105;386.591;248.325;662.921;565.513;513.806;846.837;682.456;984.981;1068.38;906.342;831.285;821.666;1064.74;1040.05;1272.94;1012.54;798.633;1027.15;635.23;771.209;423.695;285.429;37.104;119.906;329.841;384.428;609.263;542.456;844.982;928.381;665.893;590.836;581.216;824.294;799.597;1032.49;772.095;558.184;786.706;455.53;535.537;167.284;305.551;553.875;590.98;558.679;482.668;537.255;762.09;695.284;997.809;1081.21;524.17;449.113;439.494;682.572;657.874;890.767;630.372;416.461;644.983;608.357;688.364;605.258;743.524;991.849;1028.95;438.774;505.061;295.126;349.713;576.45;438.189;554.234;637.633;618.637;529.592;511.505;754.582;752.341;985.234;724.84;510.929;739.45;414.601;246.228;607.136;745.402;823.534;860.638;624.966;760.476;499.366;308.007;362.595;589.331;522.525;825.05;908.449;648.837;573.779;564.16;807.238;782.54;1015.43;755.039;541.128;769.649;433.697;513.703;596.101;685.215;802.043;839.147;428.817;790.675;603.133;367.312;157.377;105.67;438.7;274.32;576.845;660.244;498.206;423.149;413.529;656.607;631.91;864.802;604.408;390.497;619.019;227.094;363.072;469.387;607.653;372.787;409.891;487.217;640.045;452.502;431.011;354.821;149.664;204.251;429.086;362.279;664.805;748.204;191.166;116.108;106.489;349.567;324.869;557.762;297.368;83.4567;311.978;275.353;355.359;461.674;599.94;678.072;715.176;474.727;333.004;427.484;457.671;307.04;95.2274;305.162;359.75;584.585;517.778;820.303;903.703;641.214;566.157;556.538;799.616;774.918;1007.81;747.416;533.505;762.027;430.852;510.858;191.963;282.264;530.589;567.693;24.6784;463.452;600.288;404.138;462.539;450.049],1e+08,900.003
