SFF*,0,10000,unsolved,[],[],1e+08,0.3069
SFF*,0,1000000,unsolved,[1;2;6;0],[443.693;1872.12;1428.43;999.294;555.601;873.626],1e+08,253.346
SFF*,0,1000000,unsolved,[7;1;2;4;0],[926.076;482.383;443.693;555.773;1130.5;686.803;444.076;1013.2;569.506;648.497],1e+08,1888.75
