sff,0,203293,unsolved,[8],[],1e+08,1200.01
sff,0,498705,unsolved,[0;9;7;5;4;2],[438.42;1167.35;1605.77;1150.26;714.015;2317.61;706.612;1145.03;711.976;1856.87;292.937;731.357;874.414;1443.2;413.675],1e+08,1200
sff,0,1225467,solved,[0;9;8;7;6;5;4;3;2;1],[421.05;1259.54;1674.85;1151.97;1316.9;2153.78;1285.71;1066.45;2539.39;2308.94;1062.34;704.94;2321.88;1881.01;1771.39;673.618;793.601;1687.8;711.945;1849.71;1420.12;679.263;1095.5;711.934;1690.42;1958.89;1735.71;1227.1;292.833;482.765;1280.33;873.453;1438.47;1187.71;411.24;819.323;1537.89;1116.84;2791.69;2433.48;2178.95;1055.68;1910.44;2212.34;1596.31],6055.33,1200
